ym,n,n_safety,frac,date,roll,se
2019-01,1408,3,0.002130681818181818,2019-01-01,0.004320549242424242,0.001228838493637654
2019-02,1536,10,0.006510416666666667,2019-02-01,0.0044442624976304594,0.0020520618349381048
2019-03,1492,7,0.004691689008042895,2019-03-01,0.004980473971341934,0.0017691270060310256
2019-04,1872,7,0.0037393162393162395,2019-04-01,0.004116500181721592,0.0014106837754832438
2019-05,2552,10,0.003918495297805642,2019-05-01,0.004257969187436272,0.0012367068549122538
2019-06,2541,13,0.005116096025186935,2019-06-01,0.004684050929373508,0.0014153153385502526
2019-07,1993,10,0.005017561465127948,2019-07-01,0.0044889969412160715,0.001582706584145034
2019-08,1800,6,0.0033333333333333335,2019-08-01,0.0035874901203874154,0.001358557695626387
2019-09,2488,6,0.002411575562700965,2019-09-01,0.003240111181222371,0.000983333760106206
2019-10,2767,11,0.003975424647632815,2019-10-01,0.00339498310593858,0.0011962507153369963
2019-11,2633,10,0.0037979491074819596,2019-11-01,0.005500920899296259,0.001198734091437517
2019-12,2062,18,0.008729388942774006,2019-12-01,0.004920242406106167,0.0020485365019769597
2020-01,1791,4,0.002233389168062535,2020-01-01,0.005504740495371371,0.0011154468801957962
2020-02,2702,15,0.0055514433752775726,2020-02-01,0.0037533571553386804,0.0014293923245100064
2020-03,2302,8,0.0034752389226759338,2020-03-01,0.005861961146393442,0.0012265456634788282
2020-04,2804,24,0.008559201141226819,2020-04-01,0.005450328942164227,0.0017396464888659283
2020-05,2780,12,0.004316546762589928,2020-05-01,0.00679234707675078,0.0012433874284997367
2020-06,3866,29,0.007501293326435592,2020-06-01,0.005540194838137152,0.0013877208837260566
2020-07,2915,14,0.004802744425385935,2020-07-01,0.005676374554158149,0.0012805013586318834
2020-08,2328,11,0.004725085910652921,2020-08-01,0.0051953805272597015,0.001421297183778833
2020-09,2641,16,0.00605831124574025,2020-09-01,0.005328114260956904,0.0015099829496932244
2020-10,4230,22,0.005200945626477541,2020-10-01,0.005305536278319659,0.0011059580521061508
2020-11,3006,14,0.004657351962741184,2020-11-01,0.005264991016986717,0.001241827714700975
2020-12,3032,18,0.005936675461741424,2020-12-01,0.006477470420955482,0.0013951280837686013
2021-01,2376,21,0.008838383838383838,2021-01-01,0.0073325487664895545,0.0019201512910271366
2021-02,3046,22,0.007222586999343401,2021-02-01,0.007434936385059041,0.001534289755757549
2021-03,3043,19,0.006243838317449885,2021-03-01,0.007004531709371348,0.0014279558018737736
2021-04,3180,24,0.007547169811320755,2021-04-01,0.00689509857301766,0.0015347351439254757
2021-05,3046,21,0.006894287590282338,2021-05-01,0.006981449191671167,0.0014992618438626768
2021-06,4152,27,0.006502890173410405,2021-06-01,0.006908154392968528,0.0012474060361710052
2021-07,2866,21,0.00732728541521284,2021-07-01,0.006234094258327116,0.0015930760319034616
2021-08,2463,12,0.0048721071863581,2021-08-01,0.005988247615532776,0.0014030258117041377
2021-09,3469,20,0.005765350245027385,2021-09-01,0.005903542721030934,0.0012854498716825525
2021-10,4100,29,0.007073170731707317,2021-10-01,0.006710983561652506,0.001308801442719723
2021-11,3016,22,0.007294429708222812,2021-11-01,0.007836321705028402,0.0015494951906905078
2021-12,3063,28,0.009141364675155077,2021-12-01,0.009442285635783936,0.0017196413051632047
2022-01,2607,31,0.011891062523973917,2022-01-01,0.009961562017129283,0.0021229620436797303
2022-02,3276,29,0.008852258852258852,2022-02-01,0.009449983336585423,0.0016365312535343483
2022-03,3681,28,0.007606628633523499,2022-03-01,0.008034878179661337,0.0014320399230845877
2022-04,3139,24,0.007645747053201656,2022-04-01,0.008535303680086837,0.0015547038456024662
2022-05,3960,41,0.010353535353535354,2022-05-01,0.008972828308366694,0.001608558208428793
2022-06,3812,34,0.008919202518363064,2022-06-01,0.00832964833344832,0.0015227937909991053
2022-07,2974,17,0.0057162071284465365,2022-07-01,0.0069881745236200785,0.0013824157613004397
2022-08,2686,17,0.006329113924050633,2022-08-01,0.006833772849005478,0.0015301701832296972
2022-09,3193,27,0.00845599749451926,2022-09-01,0.007969116469207739,0.0016204624040795802
2022-10,4933,45,0.009122237989053315,2022-10-01,0.009541233901665216,0.0013536462432481387
2022-11,3893,43,0.011045466221423068,2022-11-01,0.010798072145662871,0.0016750893867116608
2022-12,3108,38,0.012226512226512226,2022-12-01,0.012586494325093485,0.001971239853232657
2023-01,2761,40,0.014487504527345164,2023-01-01,0.013815825032784147,0.0022740219719652134
2023-02,3733,55,0.014733458344495045,2023-02-01,0.013778685419672802,0.0019719696307006333
2023-03,3962,48,0.012115093387178193,2023-03-01,0.014033249301307347,0.0017380382202275553
2023-04,3344,51,0.015251196172248804,2023-04-01,0.015155775418388343,0.0021192468692750105
2023-05,6077,110,0.018101036695738027,2023-05-01,0.015893158464301258,0.0017101748169716002
2023-06,4816,69,0.014327242524916944,2023-06-01,0.017234710769132106,0.001712396943000197
2023-07,3839,74,0.01927585308674134,2023-07-01,0.01814909509792813,0.002219070918708034
2023-08,3838,80,0.020844189682126108,2023-08-01,0.02078075499702989,0.0023060351658629073
2023-09,4185,93,0.022222222222222223,2023-09-01,0.025717847311426168,0.0022785895080447596
2023-10,6014,205,0.03408713002993016,2023-10-01,0.028792753388707303,0.002339820184590608
2023-11,4789,144,0.030068907913969514,2023-11-01,0.030671869197607934,0.0024677823266616135
2023-12,4415,123,0.027859569648924123,2023-12-01,0.029275462379982534,0.002476773831689337
2024-01,4114,123,0.02989790957705396,2024-01-01,0.034047130686819915,0.002655198466488969
2024-02,6241,277,0.044383912834481655,2024-02-01,0.03460228483465393,0.002606918343953294
2024-03,5453,161,0.029525032092426188,2024-03-01,0.036297526104932185,0.0022922902608705654
2024-04,4888,171,0.03498363338788871,2024-04-01,0.03511173146405431,0.0026280534723971552
2024-05,6001,245,0.04082652891184803,2024-05-01,0.040812037316556575,0.0025545122794730663
2024-06,6713,313,0.04662594964993297,2024-06-01,0.042662641169663555,0.002573280831820017
2024-07,5304,215,0.040535444947209655,2024-07-01,0.04140215175190717,0.002707884786506801
2024-08,4616,171,0.037045060658578856,2024-08-01,0.03770194228179849,0.002779938816273289
2024-09,5292,188,0.03552532123960695,2024-09-01,0.04342169017339965,0.002544512005005795
2024-10,8077,466,0.05769468862201312,2024-10-01,0.04469663370840404,0.0025944105099466883
2024-11,5334,218,0.04086989126359205,2024-11-01,0.04755337340766763,0.0027109031216968563
2024-12,5987,264,0.044095540337397696,2024-12-01,0.043410156771503235,0.002653383041832871
2025-01,5037,228,0.04526503871351995,2025-01-01,0.05105776269367266,0.002929118122022102
2025-02,7475,477,0.06381270903010033,2025-02-01,0.05332189163955627,0.0028270231384969835
