organization,type,primary_papers,association_papers
University / Independent / not in list,independent,251,
Google DeepMind,corporate,42,107
OpenAI,PBC,11,74
MATS,nonprofit,48,61
Anthropic,PBC,7,51
Mila,academic,46,50
Microsoft Research,corporate,13,41
Center for AI Safety,nonprofit,9,32
Shanghai AI Laboratory,nonprofit,27,29
Meta AI,corporate,16,27
FAR.AI,nonprofit,13,24
Vector Institute,academic,21,24
UK AI Security Institute,government,8,22
Allen Institute for AI,nonprofit,15,16
Center for Human-Compatible AI,academic,5,13
Constellation,nonprofit,1,11
Anthropic Fellows Program,nonprofit,8,10
Redwood Research,nonprofit,8,9
Scale AI SEAL,corporate,1,9
EleutherAI,nonprofit,6,9
Cooperative AI Foundation,nonprofit,0,8
Goodfire,corporate,1,8
Apollo Research,nonprofit,3,7
Center on Long-Term Risk,nonprofit,3,6
Timaeus,nonprofit,4,6
SPAR,nonprofit,4,5
Apart Research,nonprofit,3,5
Gray Swan AI,corporate,1,5
Frontier Model Forum,nonprofit,0,4
LASR Labs,nonprofit,4,4
LawZero,nonprofit,2,4
Stanford Existential Risks Initiative,academic,0,4
Alignment Research Center,nonprofit,2,3
Truthful AI,nonprofit,1,3
Astra Fellowship,nonprofit,2,3
PIBBSS,nonprofit,2,3
AI Safety Camp,nonprofit,1,3
METR,nonprofit,1,2
AE Studio,corporate,2,2
FOCAL,academic,0,2
CBAI,nonprofit,0,2
LISA,nonprofit,0,2
Haize Labs,corporate,1,2
Hugging Face,corporate,1,2
Transluce,nonprofit,2,2
Future of Humanity Institute,academic,2,2
Concordia AI,nonprofit,1,1
ERA Fellowship,nonprofit,0,1
Conjecture,corporate,0,1
Cavendish Labs,nonprofit,0,1
NYU Alignment Research Group,academic,1,1
Arcadia Impact,nonprofit,0,1
Stanford Center for AI Safety,academic,0,1
US CAISI,government,0,1
Center for Applied Rationality,nonprofit,1,1
AI Safety Institute (generic),government,0,1
