id,conference,year,is_safety,class,source,status,n_pages,safety_only,safety_only_aliases,safety_adjacent
rkevMnRqYQ,iclr,2019,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
rJlEojAqFm,iclr,2019,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
SkfrvsA9FX,iclr,2019,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
SJzSgnRcKX,iclr,2019,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
BJx0sjC5FX,iclr,2019,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
B1xhQhRcK7,iclr,2019,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
rylvYaNYDH,iclr,2020,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
SylL0krYPS,iclr,2020,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
Skgvy64tvr,iclr,2020,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
SJlKrkSFPH,iclr,2020,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
HJgEMpVFwB,iclr,2020,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
BkeWw6VFwr,iclr,2020,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
sCZbhBvqQaU,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
hpH98mK5Puk,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
g-wu9TMPODo,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
dNy_RKzJacY,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
LwEQnp6CYev,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
IqtonxWI0V3,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
9ITXiTrAoT,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
7uVcpu-gMD,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
4IwieFS44l,iclr,2021,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
mwdfai8NBrJ,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
iC4UHbQ01Mp,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
cZAi1yWpiXQ,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
PRZoSmCinhf,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
NkZq4OEYN-,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
Mng8CQ9eBW,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
JYtwGwIL7ye,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
EAy7C1cgE1L,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
9L1BsI4wP1H,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
8uz0EWPQIMu,iclr,2022,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
uLE3WF3-H_5,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
sAOOeI878Ns,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
r0BrY4BiEXO,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
k8_yVW3Wqln,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
ja4Lpp5mqc2,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
hJqGbUpDGV,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
dCOL0inGl3e,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
b39dQt_uffW,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
R0Xxvr_X3ZA,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
QrnDe_9ZFd8,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
QB1dMPEXau5,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
P4bXCawRi5J,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
OTbRTIY4YS,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
NpsVSN6o4ul,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
JLLTtEdh1ZY,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
FlCg47MNvBA,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
ETKGuby0hcs,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
DeG07_TcZvT,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
CtS2Rs_aYk,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
9XFSbDPmdW,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
0g0X4H8yN4I,iclr,2023,True,4,"openreview_err:{'name': 'NotFoundError', 'message': 'Th","openreview_err:{'name': 'NotFoundError', 'message': 'Th",,,,
Ebt7JgMHv1,iclr,2024,True,4,openreview,ok,30,Stanford Existential Risks Initiative; MATS; Constellation,Stanford Existential Risks Initiative:SERI; MATS:MATS/SERI MATS; Constellation:Constellation,OpenAI
vESNKdEMGp,iclr,2024,True,4,openreview,ok,18,,,Anthropic; OpenAI
A0HKeKl4Nl,iclr,2024,True,4,openreview,ok,72,,,
CTlUHIKF71,iclr,2024,True,4,openreview,ok,20,,,
ZDGKPbF0VQ,iclr,2024,True,4,openreview,ok,31,,,Allen Institute for AI
kZEXgtMNNo,iclr,2024,True,4,openreview,ok,27,,,
ekeyCgeRfC,iclr,2024,True,4,openreview,ok,33,,,Mila
jE8xbmvFin,iclr,2024,True,4,openreview,ok,21,Open Philanthropy,Open Philanthropy:Open Philanthropy,
aN4Jf6Cx69,iclr,2024,True,4,openreview,ok,14,,,
4eJDMjYZZG,iclr,2024,True,4,openreview,ok,20,,,OpenAI
gkfUvn0fLU,iclr,2024,True,4,openreview,ok,28,,,OpenAI; Google DeepMind
Tigr1kMDZy,iclr,2024,True,4,openreview,ok,39,,,
BPHcEpGvF8,iclr,2024,True,4,openreview,ok,18,,,
